Node ID,LAT,LON
112,29.665646,-95.156176
113,29.633552,-95.167894
114,29.615945,-95.191771
115,29.632942,-95.167149
116,29.665638,-95.155379
117,29.70167,-95.153122
118,29.755098,-95.145928
119,29.808753,-95.163348
120,29.870745,-95.187632
121,29.9067,-95.202204
122,29.934245,-95.225709
123,29.934738,-95.249534
124,29.939109,-95.331513
125,29.952238,-95.290553
126,29.918444,-95.306681
127,29.807558,-95.455699
128,29.819451,-95.468871
129,29.780858,-95.453519
130,29.819475,-95.468457
131,29.785018,-95.246073
132,29.80822,-95.214314
133,29.840877,-95.156193
134,29.865522,-95.093673
135,29.884033,-95.063167
136,29.911711,-95.047163
137,29.939472,-95.02754
138,29.969876,-94.989415
139,29.940023,-95.028343
140,29.911717,-95.04727
141,29.884532,-95.063234
142,29.865865,-95.093753
143,29.841209,-95.156374
144,29.808649,-95.215071
145,30.070176,-95.934198
146,30.063271,-95.908985
147,30.047579,-95.874219
148,30.016276,-95.8153
149,30.003702,-95.782015
150,29.979026,-95.717097
151,29.95301,-95.673512
152,29.923375,-95.628512
153,29.916645,-95.616059
154,29.900783,-95.599478
155,29.876754,-95.563204
156,29.859374,-95.524388
157,29.841464,-95.49234
158,29.859702,-95.524371
159,29.876963,-95.56309
160,29.901047,-95.59923
161,29.91679,-95.61575
162,29.923643,-95.628519
163,29.953262,-95.67339
164,29.979249,-95.71698
165,30.003953,-95.781991
166,30.016504,-95.815325
167,30.047807,-95.874204
168,30.063396,-95.908799
169,29.563891,-95.025932
170,29.560389,-95.034099
171,29.566643,-95.058545
172,29.552589,-95.086339
173,29.547629,-95.101321
174,29.529792,-95.110706
175,29.521524,-95.124463
176,29.521405,-95.124393
177,29.529735,-95.110647
178,29.547487,-95.101273
179,29.552345,-95.086251
180,29.744062,-95.772867
181,29.772094,-95.777051
182,29.79392,-95.776389
183,29.817108,-95.770873
184,29.831641,-95.760556
185,29.860775,-95.756266
186,29.875295,-95.756419
187,29.904381,-95.758449
188,29.933462,-95.763426
189,29.953468,-95.769644
190,29.992367,-95.769184
191,29.953469,-95.769865
192,29.933427,-95.763674
193,29.904373,-95.758676
194,29.875297,-95.756641
195,29.860784,-95.756502
196,29.831632,-95.760817
197,29.817095,-95.771129
198,29.793925,-95.776621
199,29.77205,-95.777353
200,29.661097,-95.557844
201,29.689388,-95.557288
202,29.727632,-95.557395
203,29.74758,-95.557717
204,29.763803,-95.558829
205,29.812705,-95.563593
206,29.822687,-95.563609
207,29.831961,-95.563692
208,29.867106,-95.563718
209,29.878974,-95.548866
210,29.902851,-95.551866
211,29.923886,-95.555117
212,29.902846,-95.552155
213,29.879046,-95.54913
214,29.867224,-95.563954
215,29.831953,-95.563896
216,29.822668,-95.563863
217,29.8127,-95.563798
218,29.763718,-95.559044
219,29.747569,-95.557923
220,29.727639,-95.55764
221,29.68942,-95.557512
222,29.765531,-95.366943
223,29.803902,-95.372386
224,29.845536,-95.392699
225,29.869896,-95.407708
226,29.91513,-95.412443
227,29.949044,-95.416794
228,29.981941,-95.422461
229,30.021406,-95.428689
230,30.066577,-95.434338
231,30.110805,-95.436825
232,30.066508,-95.434607
233,30.021308,-95.429023
234,29.981913,-95.422775
235,29.949078,-95.417102
236,29.915123,-95.412709
237,29.869883,-95.407907
238,29.845557,-95.392983
239,29.80392,-95.372602
240,29.783961,-95.468028
241,29.777423,-95.429054
242,29.777437,-95.409615
243,29.773885,-95.36705
244,29.777661,-95.409642
245,29.777654,-95.42934
246,29.773619,-95.367849
247,29.768114,-95.356029
248,29.769107,-95.335726
249,29.774163,-95.307436
250,29.776804,-95.272121
251,29.773036,-95.23296
252,29.771192,-95.206185
253,29.771086,-95.153389
254,29.778005,-95.124485
255,29.792256,-95.079634
256,29.790319,-95.052813
257,29.800074,-95.016725
258,29.790812,-95.056594
259,29.792408,-95.079717
260,29.778222,-95.124456
261,29.771272,-95.153574
262,29.771383,-95.206186
263,29.773217,-95.232919
264,29.777007,-95.272071
265,29.774349,-95.307415
266,29.769335,-95.335747
267,29.768301,-95.35596
268,29.66087,-95.558047
269,29.637102,-95.531034
270,29.61353,-95.494954
271,29.599802,-95.464941
272,29.596785,-95.426584
273,29.596904,-95.38658
274,29.598437,-95.35317
275,29.600056,-95.298459
276,29.599864,-95.266309
277,29.600548,-95.228639
278,29.616482,-95.192285
279,29.601178,-95.22866
280,29.600766,-95.266302
281,29.600929,-95.298689
282,29.599304,-95.353458
283,29.597807,-95.386604
284,29.599296,-95.353456
285,29.597474,-95.426306
286,29.600635,-95.464606
287,29.613635,-95.49291
288,29.637477,-95.530664
289,29.813804,-95.361217
290,29.80848,-95.328506
291,29.804202,-95.290464
292,29.784546,-95.264733
293,29.80442,-95.290385
294,29.808655,-95.328521
295,29.784477,-95.264954
296,29.73827,-95.265463
297,29.709722,-95.267349
298,29.695668,-95.300339
299,29.713466,-95.266077
300,29.738125,-95.265237
301,29.69588,-95.30042
302,29.688937,-95.332142
303,29.681008,-95.366649
304,29.679036,-95.403177
305,29.679544,-95.439963
306,29.698591,-95.459247
307,29.679298,-95.439955
308,29.678799,-95.403176
309,29.680796,-95.366707
310,29.688773,-95.332056
311,29.698578,-95.458977
312,29.716692,-95.460046
313,29.754132,-95.455406
314,29.754151,-95.455732
315,29.716684,-95.460337
316,29.780616,-95.453804
317,29.923831,-95.554893
318,29.936896,-95.516097
319,29.937407,-95.471645
320,29.937671,-95.432354
321,29.938686,-95.381298
322,29.939311,-95.331544
323,29.938863,-95.381339
324,29.93783,-95.43238
325,29.937715,-95.47166
326,29.937052,-95.516296
327,29.936973,-95.516072
328,29.953269,-95.537675
329,29.973683,-95.563347
330,29.996693,-95.579024
331,30.013088,-95.590516
332,30.036414,-95.604245
333,30.066722,-95.622885
334,30.089423,-95.636022
335,30.066713,-95.623108
336,30.036351,-95.60443
337,30.013081,-95.5908
338,29.996691,-95.579318
339,29.973454,-95.563526
340,29.953115,-95.53783
341,30.034847,-95.256219
342,30.01814,-95.262436
343,29.982507,-95.277146
344,29.918506,-95.307051
345,29.89099,-95.3182
346,29.859331,-95.333681
347,29.829216,-95.335367
348,29.810698,-95.335323
349,29.783813,-95.340088
350,29.757916,-95.351731
351,29.810569,-95.33509
352,29.82921,-95.334993
353,29.859332,-95.333283
354,29.890968,-95.317844
355,29.95222,-95.290147
356,29.982303,-95.27673
357,30.018011,-95.262093
358,29.758054,-95.351904
359,29.735179,-95.370348
360,29.73097,-95.410537
361,29.729008,-95.441435
362,29.72596,-95.476425
363,29.723633,-95.4916
364,29.704423,-95.5133
365,29.692109,-95.527215
366,29.661127,-95.558036
367,29.643955,-95.576063
368,29.66089,-95.557895
369,29.692007,-95.526901
370,29.704304,-95.512983
371,29.723665,-95.491096
372,29.725681,-95.476439
373,29.728723,-95.441435
374,29.730707,-95.410536
375,29.736975,-95.367981
376,29.7095,-95.267452
377,29.707514,-95.228122
378,29.711951,-95.201342
379,29.71242,-95.171575
380,29.711525,-95.144395
381,29.710421,-95.113237
382,29.704411,-95.093049
383,29.688071,-95.036076
384,29.703133,-95.088382
385,29.710624,-95.113245
386,29.711722,-95.144388
387,29.712576,-95.171581
388,29.712094,-95.201337
389,29.707685,-95.22819
390,29.708765,-95.262419
391,29.636459,-95.029789
392,29.665274,-95.029165
